"id","distance","comment"
01,1500,"SM A"
02,1500,"SF A"
03,1500,"SM B"
04,1500,"SF B"
05,1000,"MM"
06,1000,"MW"
07,1500,"JM A"
08,1500,"JF B"
09,1500,"JF A"
10,1000,"Jung 14"
11,1000,"Jung 13"
12,1000,"Jung 12"
13,1500,"SM A/B"
14,1000,"Maed 13"
15,1000,"Maed 12"
16,1000,"Maed 14"
17,1000,"Maed 11"
18,1000,"Maed 10"
19,1000,"Jung 11"
20,1000,"Jung 10"
21,1000,"SM/F"
22,1500,"Fra"
23,350,"SON"
24,1000,"MX"
25,1000,"OFF"
26,1000,"Maed 13+14"
27,1000,"Jung 13+14"
28,1500,"JM B"
29,1500,"SF A/B"
30,1000,"Jung/Maed 13+14"
31,1000,"Jung/Maed 12+13"
32,1000,"Jung 12+13"
33,1000,"Maed 12+13"
34,1000,"MM/W"
35,1000,"Jung 11 u.j."
36,1000,"Maed 11 u.j."
37,1000,"Jung 12 u.j."
38,1000,"Maed 12 u.j."
39,1500,"SM/F A"
40,1500,"SM/F B"
41,1500,"SM/F A/B"
42,1000,"JM/F A"
43,1000,"JM/F B"
44,1000,"JM/F A/B"
45,1000,"Jung 13 u.j."
46,1000,"Jung 14 u.j."
47,1000,"Maed 13 u.j."
48,1000,"Maed 14 u.j."
